epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8153,3.63285,4.29615,2.98267,0.2038,0.07136,0.04204,0.00942,3.47915,3.56411,2.74728,0.0670922,0.000332402,0.000332402
2,103.068,3.01459,3.24508,2.53747,0.236,0.19494,0.11945,0.03115,2.97622,3.11477,2.44864,0.03409,0.000663539,0.000663539
3,148.261,2.68579,2.82907,2.29294,0.26813,0.27711,0.18812,0.06637,2.56338,2.81948,2.14505,0.00108558,0.000992475,0.000992475
4,192.222,2.50798,2.58684,2.1243,0.41102,0.33118,0.27389,0.1007,2.44289,2.43997,2.04955,0.0009901,0.0009901,0.0009901
5,236.006,2.38087,2.41672,2.00848,0.41056,0.36981,0.33704,0.12938,2.35585,2.24464,1.94382,0.0009868,0.0009868,0.0009868
6,280.262,2.28032,2.31971,1.91481,0.43969,0.37209,0.35747,0.13853,2.28013,2.21265,1.91929,0.0009835,0.0009835,0.0009835
7,323.722,2.23883,2.22539,1.87198,0.49778,0.4258,0.41239,0.1639,2.1869,2.10833,1.84007,0.0009802,0.0009802,0.0009802
8,367.316,2.17147,2.1371,1.82069,0.55552,0.43144,0.44482,0.19821,2.09502,1.93023,1.75935,0.0009769,0.0009769,0.0009769
9,410.788,2.13067,2.08599,1.78871,0.53721,0.42554,0.44369,0.19405,2.07077,1.96077,1.75644,0.0009736,0.0009736,0.0009736
10,454.276,2.0977,2.04413,1.77666,0.56217,0.44228,0.47453,0.20382,2.10256,1.91103,1.79662,0.0009703,0.0009703,0.0009703
11,497.982,2.05405,1.981,1.74087,0.55417,0.43318,0.45653,0.19787,2.06238,1.8783,1.72638,0.000967,0.000967,0.000967
12,541.043,2.04663,1.95147,1.70153,0.6301,0.48792,0.52644,0.2324,2.02084,1.85233,1.69323,0.0009637,0.0009637,0.0009637
13,585.008,2.03989,1.93674,1.69466,0.60864,0.46625,0.50853,0.2312,1.98861,1.77127,1.66231,0.0009604,0.0009604,0.0009604
