epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.488,7.46209,9.45592,5.31637,0.00133,0.01713,0.00069,0.0002,7.29595,10.6681,4.77043,0.0670922,0.000332402,0.000332402
2,200.655,6.11449,6.46007,4.26364,0.26909,0.1108,0.10186,0.02878,5.9309,6.689,4.12579,0.03409,0.000663539,0.000663539
3,289.557,5.36955,5.58535,3.80386,0.3166,0.23206,0.17991,0.05934,5.40927,5.33082,3.76297,0.00108558,0.000992475,0.000992475
4,378.157,5.01283,5.16143,3.56354,0.35368,0.28438,0.23214,0.08431,5.00742,4.78733,3.55209,0.0009901,0.0009901,0.0009901
5,466.5,4.79299,4.87557,3.42517,0.35053,0.30796,0.25368,0.08254,4.91054,4.77917,3.43512,0.0009868,0.0009868,0.0009868
6,551.827,4.66629,4.68045,3.30934,0.4064,0.29738,0.27664,0.09525,4.71852,4.61408,3.44258,0.0009835,0.0009835,0.0009835
7,638.284,4.54444,4.49435,3.2268,0.41911,0.36553,0.33267,0.12731,4.51883,4.17088,3.27323,0.0009802,0.0009802,0.0009802
8,724.503,4.44275,4.32647,3.16218,0.47003,0.37031,0.35896,0.14597,4.38612,4.11813,3.14983,0.0009769,0.0009769,0.0009769
9,808.91,4.35647,4.23324,3.11644,0.46248,0.40452,0.36079,0.15048,4.31892,4.03949,3.11591,0.0009736,0.0009736,0.0009736
10,892.899,4.28882,4.12193,3.07048,0.4661,0.39875,0.37467,0.15578,4.25604,3.86124,3.12449,0.0009703,0.0009703,0.0009703
11,977.433,4.23901,4.01697,3.03665,0.47838,0.41697,0.39183,0.15506,4.35394,3.97152,3.12456,0.000967,0.000967,0.000967
12,1060.45,4.21457,3.94008,2.98467,0.51919,0.42049,0.42767,0.17792,4.15359,3.73702,2.95559,0.0009637,0.0009637,0.0009637
13,1144.15,4.17,3.91353,2.9703,0.49326,0.42372,0.4073,0.18232,4.14386,3.6499,2.99581,0.0009604,0.0009604,0.0009604
14,1227.09,4.12022,3.79205,2.94905,0.5202,0.43809,0.44177,0.18528,4.10849,3.64267,2.9654,0.0009571,0.0009571,0.0009571
15,1311.12,4.0757,3.71688,2.91759,0.54051,0.42413,0.4345,0.18276,4.16703,3.68019,2.94312,0.0009538,0.0009538,0.0009538
16,1393.04,4.04399,3.68684,2.90229,0.53997,0.45162,0.46019,0.20293,3.99332,3.55326,2.88828,0.0009505,0.0009505,0.0009505
17,1477.5,3.99142,3.63815,2.86387,0.50321,0.47442,0.45523,0.21378,3.90598,3.43959,2.857,0.0009472,0.0009472,0.0009472
18,1560.02,3.98848,3.64164,2.84882,0.55029,0.47561,0.48114,0.221,3.94631,3.44731,2.82836,0.0009439,0.0009439,0.0009439
19,1640.95,3.99426,3.59683,2.86349,0.52201,0.48516,0.49286,0.23252,3.87532,3.36155,2.81068,0.0009406,0.0009406,0.0009406
20,1722.25,3.96827,3.50198,2.81945,0.58881,0.43992,0.49704,0.24,3.88618,3.28015,2.8238,0.0009373,0.0009373,0.0009373
21,1803.94,3.91572,3.50936,2.79798,0.58473,0.47468,0.50496,0.24072,3.82139,3.2354,2.77113,0.000934,0.000934,0.000934
22,1882.25,3.89351,3.43482,2.79508,0.56675,0.51352,0.513,0.24003,3.90625,3.25881,2.80943,0.0009307,0.0009307,0.0009307
23,1963.71,3.89175,3.39093,2.79705,0.58409,0.51377,0.54245,0.25431,3.84981,3.16731,2.7897,0.0009274,0.0009274,0.0009274
24,2045.03,3.84845,3.35191,2.75819,0.61873,0.49519,0.53631,0.2491,3.86413,3.16403,2.77631,0.0009241,0.0009241,0.0009241
25,2123.6,3.86902,3.34926,2.77631,0.6097,0.52024,0.54665,0.25513,3.82034,3.20095,2.76625,0.0009208,0.0009208,0.0009208
26,2204.89,3.81133,3.31761,2.7529,0.59331,0.5205,0.55195,0.25972,3.74054,3.08026,2.71401,0.0009175,0.0009175,0.0009175
27,2286.3,3.81722,3.25666,2.73519,0.62891,0.5125,0.56095,0.27475,3.77201,3.06389,2.72891,0.0009142,0.0009142,0.0009142
28,2365.93,3.80948,3.2479,2.73523,0.62055,0.52912,0.57822,0.27911,3.77227,3.01739,2.70544,0.0009109,0.0009109,0.0009109
29,2447.01,3.7899,3.22985,2.7233,0.65004,0.52606,0.5854,0.27847,3.71906,3.00948,2.6828,0.0009076,0.0009076,0.0009076
30,2528.24,3.78089,3.21017,2.71323,0.61195,0.52813,0.5563,0.26832,3.75488,3.02631,2.71574,0.0009043,0.0009043,0.0009043
31,2606.37,3.73318,3.16486,2.70387,0.59929,0.53326,0.56538,0.27271,3.74557,2.95347,2.71279,0.000901,0.000901,0.000901
32,2685.94,3.7468,3.13293,2.69758,0.58997,0.56565,0.5831,0.27987,3.72437,2.95392,2.68009,0.0008977,0.0008977,0.0008977
33,2766.42,3.76197,3.17222,2.6817,0.67078,0.54402,0.59276,0.29603,3.69115,2.94956,2.66145,0.0008944,0.0008944,0.0008944
34,2847.22,3.71685,3.10952,2.67684,0.66938,0.53322,0.59627,0.28537,3.7541,2.90113,2.70201,0.0008911,0.0008911,0.0008911
35,2927.79,3.72223,3.09961,2.67739,0.62968,0.55444,0.592,0.29301,3.67218,2.88933,2.63771,0.0008878,0.0008878,0.0008878
36,3008.84,3.75466,3.06216,2.65465,0.66198,0.54234,0.60119,0.29632,3.71706,2.91472,2.67392,0.0008845,0.0008845,0.0008845
37,3088.91,3.76041,3.08277,2.63527,0.68692,0.53366,0.62198,0.30739,3.74041,2.81595,2.67463,0.0008812,0.0008812,0.0008812
38,3170.06,3.72807,3.01076,2.63355,0.65771,0.5838,0.6387,0.30814,3.71181,2.74947,2.63711,0.0008779,0.0008779,0.0008779
39,3249.71,3.73132,3.02269,2.63979,0.67499,0.58024,0.63713,0.30949,3.6701,2.76234,2.63618,0.0008746,0.0008746,0.0008746
40,3329.96,3.71336,3.00227,2.6126,0.64283,0.57949,0.63042,0.31374,3.6639,2.75826,2.62977,0.0008713,0.0008713,0.0008713
41,3409.57,3.69604,2.9729,2.60979,0.66854,0.56256,0.61463,0.30326,3.66037,2.78727,2.61578,0.000868,0.000868,0.000868
42,3490.32,3.72056,2.98159,2.60631,0.65853,0.58405,0.62145,0.31457,3.63897,2.75995,2.60511,0.0008647,0.0008647,0.0008647
43,3570.92,3.71054,2.92936,2.5991,0.66872,0.56758,0.62566,0.31415,3.6491,2.73374,2.62555,0.0008614,0.0008614,0.0008614
44,3650.92,3.70535,2.93776,2.60836,0.64987,0.59888,0.63269,0.32513,3.63714,2.71093,2.59661,0.0008581,0.0008581,0.0008581
45,3732.2,3.70091,2.91613,2.60179,0.64671,0.56112,0.61547,0.3102,3.62203,2.75521,2.60471,0.0008548,0.0008548,0.0008548
46,3813.01,3.66479,2.89415,2.58907,0.68663,0.5978,0.65406,0.32809,3.62843,2.636,2.57227,0.0008515,0.0008515,0.0008515
47,3894.24,3.67194,2.87248,2.59415,0.71242,0.58108,0.66508,0.33354,3.65094,2.623,2.59389,0.0008482,0.0008482,0.0008482
48,3973.97,3.63799,2.85083,2.5785,0.7088,0.60051,0.6748,0.34353,3.52977,2.59759,2.55078,0.0008449,0.0008449,0.0008449
49,4053.14,3.64258,2.86504,2.58284,0.69223,0.58965,0.66739,0.33751,3.5883,2.65391,2.57798,0.0008416,0.0008416,0.0008416
50,4132.81,3.67202,2.86081,2.57166,0.69276,0.61781,0.67258,0.35284,3.56901,2.58274,2.55932,0.0008383,0.0008383,0.0008383
51,4213.54,3.61018,2.84407,2.55684,0.7216,0.58923,0.66049,0.34708,3.53993,2.60969,2.54658,0.000835,0.000835,0.000835
52,4294.14,3.61242,2.7986,2.54515,0.70903,0.6157,0.67652,0.34472,3.59132,2.54742,2.55706,0.0008317,0.0008317,0.0008317
53,4373.07,3.62799,2.79441,2.55407,0.71688,0.60591,0.68027,0.35638,3.55843,2.5709,2.55046,0.0008284,0.0008284,0.0008284
54,4453.79,3.59694,2.79245,2.55865,0.68807,0.63866,0.68584,0.36224,3.5043,2.49195,2.5268,0.0008251,0.0008251,0.0008251
55,4534.75,3.62133,2.80521,2.55975,0.71903,0.61819,0.6844,0.35792,3.49235,2.48071,2.53264,0.0008218,0.0008218,0.0008218
56,4614.16,3.61369,2.78941,2.53577,0.71466,0.61344,0.68636,0.3557,3.51503,2.53783,2.52731,0.0008185,0.0008185,0.0008185
57,4693.94,3.61779,2.76029,2.54263,0.7017,0.62333,0.68941,0.36273,3.50587,2.49065,2.51621,0.0008152,0.0008152,0.0008152
58,4774.73,3.55789,2.72025,2.53348,0.72085,0.61802,0.68426,0.35881,3.49773,2.47005,2.50951,0.0008119,0.0008119,0.0008119
