epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2564.23,1.70739,1.37593,1.42119,0.77014,0.67498,0.73539,0.38759,1.68666,1.28931,1.42358,0.0008647,0.0008647,0.0008647
43,2621.37,1.69431,1.34552,1.41512,0.77137,0.67824,0.7372,0.38864,1.70102,1.30524,1.43662,0.0008614,0.0008614,0.0008614
44,2679.4,1.69374,1.35107,1.41396,0.80035,0.656,0.73446,0.39235,1.68768,1.26707,1.40973,0.0008581,0.0008581,0.0008581
45,2736.4,1.69634,1.34177,1.41238,0.75532,0.67375,0.72991,0.39006,1.70042,1.27369,1.42538,0.0008548,0.0008548,0.0008548
46,2793.09,1.67884,1.33444,1.40142,0.78434,0.68417,0.74731,0.39592,1.68499,1.25349,1.41639,0.0008515,0.0008515,0.0008515
47,2851.53,1.68102,1.31784,1.40654,0.80077,0.66894,0.7477,0.40563,1.66912,1.24171,1.40696,0.0008482,0.0008482,0.0008482
48,2908.81,1.66457,1.31827,1.40345,0.81196,0.67873,0.76237,0.40831,1.64778,1.2339,1.39599,0.0008449,0.0008449,0.0008449
49,2966.56,1.67023,1.31172,1.40502,0.78132,0.67642,0.75203,0.41189,1.6626,1.24027,1.39762,0.0008416,0.0008416,0.0008416
50,3024.29,1.67318,1.30468,1.39791,0.8048,0.68221,0.7579,0.40872,1.67007,1.24742,1.40009,0.0008383,0.0008383,0.0008383
51,3080.82,1.66325,1.30188,1.39317,0.81115,0.67867,0.76498,0.41335,1.65273,1.22563,1.40761,0.000835,0.000835,0.000835
52,3138.7,1.65049,1.2779,1.39012,0.81024,0.69647,0.7685,0.41494,1.66701,1.20907,1.39896,0.0008317,0.0008317,0.0008317
53,3196.18,1.66534,1.28666,1.3955,0.8251,0.68555,0.76965,0.42165,1.65274,1.2251,1.40162,0.0008284,0.0008284,0.0008284
54,3252.1,1.64986,1.28427,1.38812,0.79605,0.69859,0.77318,0.41637,1.64404,1.2021,1.388,0.0008251,0.0008251,0.0008251
55,3307.46,1.65076,1.28535,1.38599,0.80365,0.68875,0.76896,0.42225,1.63506,1.20041,1.3844,0.0008218,0.0008218,0.0008218
56,3366.58,1.66174,1.29034,1.38375,0.80504,0.705,0.76839,0.42127,1.63349,1.20853,1.37606,0.0008185,0.0008185,0.0008185
57,3424.38,1.64348,1.27119,1.38124,0.82955,0.70335,0.77645,0.43045,1.61889,1.18408,1.3714,0.0008152,0.0008152,0.0008152
58,3481.1,1.6216,1.24181,1.38064,0.80407,0.69776,0.77416,0.43105,1.61667,1.16622,1.38314,0.0008119,0.0008119,0.0008119
59,3537.46,1.64052,1.26159,1.37645,0.81258,0.69792,0.77693,0.43197,1.62381,1.16612,1.3743,0.0008086,0.0008086,0.0008086
60,3594.49,1.62762,1.24199,1.36412,0.81252,0.71377,0.78243,0.43657,1.60751,1.16402,1.35934,0.0008053,0.0008053,0.0008053
61,3652.52,1.63064,1.2481,1.37045,0.80519,0.70501,0.78082,0.43743,1.59895,1.16264,1.35737,0.000802,0.000802,0.000802
62,3708.65,1.62079,1.25107,1.36829,0.78544,0.72813,0.78021,0.43307,1.60048,1.15433,1.3654,0.0007987,0.0007987,0.0007987
63,3771.3,1.63085,1.248,1.36863,0.82024,0.73128,0.79647,0.4401,1.60502,1.15428,1.36109,0.0007954,0.0007954,0.0007954
64,3828.57,1.6095,1.22282,1.34838,0.81877,0.73003,0.79081,0.44097,1.61124,1.13271,1.36656,0.0007921,0.0007921,0.0007921
65,3886.46,1.62245,1.21955,1.36366,0.81318,0.71815,0.79463,0.43791,1.62597,1.13302,1.36762,0.0007888,0.0007888,0.0007888
66,3944.01,1.61405,1.20221,1.35767,0.79549,0.74027,0.79713,0.44215,1.61339,1.13139,1.36402,0.0007855,0.0007855,0.0007855
67,4003.88,1.59827,1.19704,1.34985,0.81837,0.72626,0.79367,0.4472,1.60635,1.14271,1.35433,0.0007822,0.0007822,0.0007822
68,4061.87,1.60934,1.20477,1.35446,0.80681,0.73989,0.79968,0.45026,1.59795,1.11938,1.35528,0.0007789,0.0007789,0.0007789
69,4119.4,1.6001,1.17495,1.34625,0.83402,0.737,0.80492,0.45189,1.59626,1.10086,1.35168,0.0007756,0.0007756,0.0007756
70,4176.21,1.60133,1.188,1.34164,0.83293,0.73554,0.80719,0.45224,1.59108,1.0981,1.34326,0.0007723,0.0007723,0.0007723
71,4232.57,1.59359,1.18123,1.3428,0.84688,0.72395,0.80984,0.45598,1.58583,1.09489,1.34909,0.000769,0.000769,0.000769
72,4288.67,1.58158,1.16066,1.33494,0.82869,0.71542,0.8074,0.45416,1.59286,1.09871,1.34755,0.0007657,0.0007657,0.0007657
73,4344.84,1.6008,1.18594,1.34776,0.81439,0.73385,0.80211,0.44916,1.6042,1.09869,1.35939,0.0007624,0.0007624,0.0007624
74,4401.32,1.57413,1.16569,1.33146,0.83925,0.73397,0.80703,0.45799,1.59046,1.08639,1.34237,0.0007591,0.0007591,0.0007591
75,4456.91,1.575,1.15285,1.33607,0.84795,0.73825,0.81253,0.45404,1.60486,1.10014,1.34497,0.0007558,0.0007558,0.0007558
76,4512.32,1.58396,1.16056,1.33137,0.82832,0.73353,0.80176,0.45351,1.58694,1.09283,1.344,0.0007525,0.0007525,0.0007525
77,4571.29,1.58026,1.16301,1.33813,0.84957,0.73719,0.80986,0.46165,1.58831,1.08726,1.34349,0.0007492,0.0007492,0.0007492
78,4627.2,1.57606,1.15145,1.3302,0.83353,0.7485,0.81295,0.46109,1.57988,1.07982,1.32998,0.0007459,0.0007459,0.0007459
79,4683.01,1.56261,1.12843,1.32465,0.83234,0.74005,0.8102,0.46286,1.57639,1.07267,1.33123,0.0007426,0.0007426,0.0007426
80,4740.06,1.55136,1.13174,1.31954,0.84279,0.74302,0.81156,0.45987,1.5662,1.06577,1.3333,0.0007393,0.0007393,0.0007393
81,4796.23,1.57119,1.13445,1.32274,0.82279,0.75266,0.81697,0.46898,1.56108,1.04829,1.33019,0.000736,0.000736,0.000736
82,4853.71,1.56334,1.12729,1.32266,0.82879,0.74168,0.81665,0.4617,1.56479,1.07332,1.33345,0.0007327,0.0007327,0.0007327
83,4912.38,1.55516,1.11782,1.31625,0.82948,0.75442,0.81526,0.46174,1.55766,1.05863,1.33188,0.0007294,0.0007294,0.0007294
84,4968.98,1.55428,1.10897,1.3154,0.84852,0.7442,0.81562,0.46935,1.55345,1.04819,1.32176,0.0007261,0.0007261,0.0007261
85,5027.49,1.54821,1.11237,1.31836,0.85285,0.74623,0.8175,0.46748,1.55296,1.04361,1.31941,0.0007228,0.0007228,0.0007228
86,5082.52,1.55393,1.12681,1.31338,0.83865,0.75226,0.81883,0.46375,1.54267,1.04208,1.30907,0.0007195,0.0007195,0.0007195
87,5138.71,1.54155,1.10627,1.30836,0.84455,0.75899,0.82629,0.47086,1.55661,1.02804,1.3224,0.0007162,0.0007162,0.0007162
88,5197.03,1.53669,1.08868,1.30665,0.85185,0.7477,0.81861,0.47063,1.54647,1.03089,1.31767,0.0007129,0.0007129,0.0007129
89,5255.48,1.55188,1.10599,1.31277,0.84025,0.74733,0.81956,0.47214,1.53825,1.0419,1.30712,0.0007096,0.0007096,0.0007096
90,5312.46,1.54189,1.09865,1.30601,0.8498,0.7444,0.82591,0.47417,1.54888,1.03164,1.30577,0.0007063,0.0007063,0.0007063
91,5369.88,1.54093,1.09785,1.3086,0.85107,0.75714,0.82837,0.47222,1.5435,1.02522,1.30635,0.000703,0.000703,0.000703
92,5426.51,1.54472,1.081,1.30361,0.84402,0.74837,0.82006,0.47493,1.54172,1.02378,1.31048,0.0006997,0.0006997,0.0006997
93,5484.49,1.53423,1.07965,1.29096,0.83179,0.77059,0.82551,0.47694,1.54656,1.01774,1.30524,0.0006964,0.0006964,0.0006964
94,5542.38,1.51618,1.06624,1.28907,0.84724,0.74475,0.82062,0.47861,1.54781,1.02013,1.30395,0.0006931,0.0006931,0.0006931
95,5600.76,1.54238,1.09172,1.29664,0.83215,0.75606,0.82255,0.47902,1.55939,1.02018,1.30279,0.0006898,0.0006898,0.0006898
96,5657.57,1.5197,1.07185,1.28727,0.84378,0.75213,0.82191,0.47737,1.54445,1.01206,1.30448,0.0006865,0.0006865,0.0006865
97,5714.9,1.51688,1.0632,1.28673,0.84584,0.75953,0.82651,0.47686,1.54497,1.00729,1.30693,0.0006832,0.0006832,0.0006832
98,5771.65,1.51759,1.06439,1.29145,0.85277,0.75901,0.82816,0.48007,1.53852,1.00433,1.30166,0.0006799,0.0006799,0.0006799
99,5828.92,1.51166,1.05471,1.28844,0.83433,0.77406,0.82494,0.47837,1.53503,0.99674,1.3073,0.0006766,0.0006766,0.0006766
100,5885.82,1.51783,1.053,1.28885,0.86155,0.76499,0.83103,0.48414,1.53375,0.9911,1.30382,0.0006733,0.0006733,0.0006733
101,5941.36,1.5154,1.05334,1.28093,0.85889,0.75899,0.82824,0.47953,1.5378,0.99289,1.30301,0.00067,0.00067,0.00067
102,5998.27,1.49581,1.05239,1.27714,0.8666,0.7525,0.82813,0.4797,1.53557,0.99734,1.3041,0.0006667,0.0006667,0.0006667
103,6053.76,1.49605,1.03956,1.27634,0.85736,0.76213,0.83289,0.4829,1.53057,0.99189,1.29998,0.0006634,0.0006634,0.0006634
104,6109.76,1.50005,1.03822,1.27763,0.86666,0.76947,0.83338,0.48445,1.51938,0.98706,1.29315,0.0006601,0.0006601,0.0006601
105,6167.47,1.48816,1.03861,1.27634,0.8684,0.76906,0.83613,0.48473,1.5171,0.97795,1.29531,0.0006568,0.0006568,0.0006568
106,6223.09,1.49635,1.03772,1.27393,0.86958,0.76567,0.83843,0.48786,1.51815,0.97319,1.29388,0.0006535,0.0006535,0.0006535
107,6279.59,1.49699,1.03545,1.27361,0.86721,0.76364,0.83921,0.49081,1.51531,0.97105,1.29264,0.0006502,0.0006502,0.0006502
108,6335.02,1.4888,1.02583,1.26934,0.85105,0.76942,0.83898,0.49041,1.50968,0.9667,1.28653,0.0006469,0.0006469,0.0006469
109,6391.39,1.48423,1.02697,1.25987,0.86909,0.76173,0.84124,0.49364,1.51507,0.96312,1.28777,0.0006436,0.0006436,0.0006436
110,6449.82,1.47617,1.01566,1.26105,0.86139,0.77698,0.84338,0.49681,1.50886,0.95515,1.28515,0.0006403,0.0006403,0.0006403
111,6505.72,1.48252,1.01872,1.26475,0.85988,0.77652,0.84493,0.49783,1.50866,0.95415,1.28117,0.000637,0.000637,0.000637
112,6563.04,1.48093,1.01511,1.26638,0.85784,0.78508,0.84738,0.50037,1.51106,0.95879,1.2815,0.0006337,0.0006337,0.0006337
113,6619.22,1.46881,0.9945,1.25625,0.85458,0.7826,0.84858,0.50234,1.50303,0.95448,1.27971,0.0006304,0.0006304,0.0006304
114,6677.64,1.47038,1.00036,1.25656,0.85075,0.78907,0.85199,0.50447,1.50063,0.95013,1.2769,0.0006271,0.0006271,0.0006271
115,6735.54,1.47808,1.01282,1.25729,0.85983,0.78795,0.84936,0.50256,1.50379,0.95015,1.27748,0.0006238,0.0006238,0.0006238
116,6792.42,1.4871,1.00887,1.25867,0.87044,0.78403,0.84816,0.50219,1.5065,0.94481,1.28066,0.0006205,0.0006205,0.0006205
117,6850.87,1.46479,0.9969,1.2554,0.84441,0.79924,0.84456,0.49874,1.51169,0.95044,1.28095,0.0006172,0.0006172,0.0006172
118,6907.21,1.47103,1.00196,1.25649,0.86203,0.78217,0.84439,0.49876,1.50675,0.94471,1.27365,0.0006139,0.0006139,0.0006139
119,6962.3,1.45493,0.97216,1.24578,0.86059,0.78195,0.84251,0.49795,1.50755,0.94065,1.27713,0.0006106,0.0006106,0.0006106
120,7017.73,1.45167,0.97233,1.24368,0.86532,0.78038,0.84457,0.49775,1.50907,0.93933,1.27893,0.0006073,0.0006073,0.0006073
121,7072.37,1.45932,0.97883,1.24667,0.86522,0.78356,0.84679,0.49983,1.50216,0.9386,1.27468,0.000604,0.000604,0.000604
122,7127.39,1.43676,0.96927,1.23997,0.86712,0.78611,0.84685,0.50105,1.50443,0.93951,1.27902,0.0006007,0.0006007,0.0006007
123,7184.32,1.44999,0.96799,1.24154,0.86634,0.78736,0.84576,0.49733,1.50277,0.93283,1.28068,0.0005974,0.0005974,0.0005974
124,7239.74,1.44398,0.96562,1.23365,0.86943,0.78813,0.84353,0.49778,1.50563,0.93393,1.2836,0.0005941,0.0005941,0.0005941
125,7296.76,1.4428,0.97248,1.25044,0.86408,0.79364,0.84837,0.50012,1.50649,0.9345,1.28628,0.0005908,0.0005908,0.0005908
126,7352.19,1.43246,0.96047,1.23884,0.8781,0.78633,0.85042,0.50134,1.50398,0.93195,1.28702,0.0005875,0.0005875,0.0005875
127,7409.65,1.44063,0.95249,1.23902,0.86763,0.79361,0.85148,0.50299,1.50475,0.935,1.283,0.0005842,0.0005842,0.0005842
128,7466.15,1.43844,0.96243,1.23999,0.8697,0.78959,0.85003,0.50436,1.50073,0.93197,1.28095,0.0005809,0.0005809,0.0005809
129,7521.26,1.42964,0.94491,1.2348,0.8663,0.7919,0.85356,0.50784,1.49411,0.92368,1.27556,0.0005776,0.0005776,0.0005776
130,7576.89,1.4278,0.94481,1.2312,0.86134,0.79683,0.85478,0.5077,1.49294,0.92039,1.27568,0.0005743,0.0005743,0.0005743
131,7634.15,1.43536,0.95733,1.23496,0.86034,0.8003,0.85249,0.50697,1.48797,0.91742,1.27165,0.000571,0.000571,0.000571
132,7690.35,1.43842,0.95393,1.23514,0.8634,0.8028,0.85421,0.50892,1.48528,0.9197,1.26812,0.0005677,0.0005677,0.0005677
133,7746.9,1.42336,0.94194,1.23291,0.8672,0.79467,0.85179,0.50868,1.48501,0.91523,1.26763,0.0005644,0.0005644,0.0005644
134,7803.67,1.4135,0.92663,1.22245,0.87107,0.79564,0.85415,0.5088,1.48567,0.9157,1.26535,0.0005611,0.0005611,0.0005611
135,7859.97,1.40894,0.92835,1.2207,0.87314,0.79459,0.85497,0.50899,1.48485,0.91278,1.26754,0.0005578,0.0005578,0.0005578
136,7916.65,1.42528,0.93751,1.22379,0.87356,0.79113,0.85321,0.50847,1.48439,0.91264,1.26687,0.0005545,0.0005545,0.0005545
137,7972.7,1.40881,0.92443,1.21833,0.86793,0.79405,0.85242,0.50927,1.48183,0.91108,1.26626,0.0005512,0.0005512,0.0005512
138,8028.12,1.41078,0.92388,1.21707,0.85853,0.78741,0.85378,0.50892,1.48227,0.90839,1.26625,0.0005479,0.0005479,0.0005479
139,8084.18,1.41964,0.92343,1.21935,0.86452,0.78513,0.85375,0.50855,1.48318,0.90662,1.2658,0.0005446,0.0005446,0.0005446
140,8139.86,1.41946,0.92474,1.22106,0.86174,0.78779,0.85381,0.51006,1.47996,0.9056,1.26555,0.0005413,0.0005413,0.0005413
141,8196.98,1.41533,0.9267,1.21847,0.86936,0.78546,0.85351,0.51134,1.47927,0.90478,1.26345,0.000538,0.000538,0.000538
142,8252.37,1.40368,0.9165,1.21176,0.86433,0.79188,0.85378,0.51041,1.48006,0.90507,1.26334,0.0005347,0.0005347,0.0005347
143,8307.32,1.39614,0.90927,1.20621,0.86604,0.79217,0.8552,0.51234,1.48206,0.90051,1.26372,0.0005314,0.0005314,0.0005314
