epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8879,3.73378,3.87503,2.88378,0.21631,0.10167,0.06845,0.01696,3.37864,3.17798,2.42391,0.0670922,0.000332402,0.000332402
2,90.9729,2.9954,2.95371,2.34554,0.25181,0.22192,0.15739,0.04555,2.92548,2.68464,2.16843,0.03409,0.000663539,0.000663539
3,133.176,2.65998,2.57821,2.09356,0.34914,0.30469,0.24807,0.07721,2.67895,2.4271,1.93453,0.00108558,0.000992475,0.000992475
4,183.754,2.47779,2.39537,1.94598,0.35955,0.36594,0.28503,0.09667,2.47457,2.32686,1.8176,0.0009901,0.0009901,0.0009901
5,243.726,2.32014,2.21368,1.84081,0.44521,0.35735,0.33511,0.12701,2.35816,2.07646,1.72675,0.0009868,0.0009868,0.0009868
6,303.789,2.26269,2.12675,1.7892,0.41789,0.35681,0.31855,0.12306,2.36869,2.14509,1.73029,0.0009835,0.0009835,0.0009835
7,366.155,2.20675,2.03661,1.738,0.48164,0.38958,0.36988,0.14148,2.28461,2.00215,1.66363,0.0009802,0.0009802,0.0009802
8,431.514,2.1452,1.97749,1.69675,0.5143,0.39864,0.39292,0.15392,2.19553,1.93058,1.64081,0.0009769,0.0009769,0.0009769
9,491.927,2.11239,1.93036,1.6748,0.50905,0.41704,0.39229,0.15349,2.15622,1.83433,1.61434,0.0009736,0.0009736,0.0009736
10,552.445,2.06536,1.86147,1.65233,0.51748,0.45606,0.43417,0.17654,2.14158,1.73908,1.59879,0.0009703,0.0009703,0.0009703
11,612.766,2.0484,1.81669,1.63316,0.5533,0.42912,0.43924,0.17229,2.18158,1.82143,1.62861,0.000967,0.000967,0.000967
12,672.462,2.03931,1.78796,1.60539,0.53927,0.47829,0.47434,0.20294,2.07494,1.69574,1.5575,0.0009637,0.0009637,0.0009637
13,731.003,2.01512,1.78557,1.59675,0.53529,0.4358,0.42684,0.17756,2.06514,1.81814,1.58083,0.0009604,0.0009604,0.0009604
14,790.05,1.97423,1.70751,1.57345,0.61903,0.46729,0.49885,0.21463,2.06553,1.67464,1.5396,0.0009571,0.0009571,0.0009571
15,848.711,1.95093,1.69244,1.56303,0.59455,0.47081,0.49542,0.20875,2.06491,1.64984,1.54273,0.0009538,0.0009538,0.0009538
16,906.923,1.9507,1.68239,1.55111,0.57571,0.51559,0.51124,0.22093,1.99465,1.67099,1.5222,0.0009505,0.0009505,0.0009505
17,964.247,1.92444,1.65636,1.53485,0.59453,0.49628,0.51952,0.22826,2.00228,1.59384,1.50576,0.0009472,0.0009472,0.0009472
18,1023.04,1.91697,1.64673,1.53062,0.6084,0.49826,0.50963,0.22283,1.94803,1.58971,1.49105,0.0009439,0.0009439,0.0009439
19,1080.66,1.90648,1.62236,1.52582,0.656,0.46541,0.52274,0.23199,1.9643,1.54375,1.49122,0.0009406,0.0009406,0.0009406
20,1138.55,1.8996,1.59069,1.51143,0.64379,0.49601,0.52303,0.23057,1.96396,1.54675,1.50575,0.0009373,0.0009373,0.0009373
21,1195.84,1.87246,1.59641,1.49561,0.66887,0.51212,0.56564,0.25982,1.88757,1.47562,1.45221,0.000934,0.000934,0.000934
22,1252.11,1.86831,1.55623,1.50176,0.67243,0.49834,0.55719,0.25713,1.93474,1.51415,1.48496,0.0009307,0.0009307,0.0009307
23,1307.78,1.85896,1.54331,1.49585,0.70212,0.52148,0.58696,0.27699,1.90899,1.45814,1.45511,0.0009274,0.0009274,0.0009274
24,1364.06,1.83746,1.52471,1.4774,0.67757,0.53317,0.58422,0.27778,1.87223,1.44933,1.44927,0.0009241,0.0009241,0.0009241
25,1420.32,1.84683,1.51146,1.4832,0.65451,0.54577,0.59818,0.28009,1.88386,1.4505,1.43439,0.0009208,0.0009208,0.0009208
