epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.775,3.77598,4.08615,2.89309,0.00944,0.22094,0.01925,0.00527,3.67664,3.98631,2.58408,0.0670922,0.000332402,0.000332402
2,221.587,3.05931,3.08588,2.37091,0.24704,0.21094,0.13935,0.03739,3.01,2.80872,2.1882,0.03409,0.000663539,0.000663539
3,322.301,2.72378,2.67878,2.12494,0.31305,0.18678,0.16048,0.04996,2.88367,2.97355,2.02731,0.00108558,0.000992475,0.000992475
4,421.498,2.54831,2.45037,1.98289,0.39452,0.31395,0.2873,0.0994,2.62292,2.28098,1.90046,0.0009901,0.0009901,0.0009901
5,519.288,2.42208,2.30782,1.8938,0.34642,0.33086,0.26523,0.09448,2.50041,2.22381,1.7889,0.0009868,0.0009868,0.0009868
6,615.004,2.34647,2.21751,1.83753,0.38895,0.36634,0.29452,0.11261,2.35937,2.16364,1.75437,0.0009835,0.0009835,0.0009835
7,713.002,2.29429,2.15559,1.79075,0.44837,0.36799,0.35271,0.13672,2.38706,2.07182,1.73934,0.0009802,0.0009802,0.0009802
8,810.132,2.24161,2.08119,1.75481,0.47068,0.38093,0.3643,0.14251,2.28172,2.00216,1.69192,0.0009769,0.0009769,0.0009769
9,906.628,2.19105,2.04506,1.73185,0.4798,0.40548,0.37732,0.14892,2.27049,1.92612,1.68458,0.0009736,0.0009736,0.0009736
10,1000.54,2.15235,1.98104,1.7124,0.52719,0.42319,0.41976,0.16788,2.20581,1.85788,1.62728,0.0009703,0.0009703,0.0009703
11,1095.6,2.13191,1.93672,1.68821,0.4778,0.42918,0.38441,0.16365,2.18806,1.86352,1.63524,0.000967,0.000967,0.000967
12,1189.61,2.1061,1.89911,1.64961,0.48898,0.43489,0.42152,0.16784,2.22154,1.87477,1.63075,0.0009637,0.0009637,0.0009637
13,1284.66,2.08835,1.88246,1.64287,0.547,0.44167,0.4478,0.18571,2.12824,1.83616,1.59143,0.0009604,0.0009604,0.0009604
14,1377.64,2.05193,1.83213,1.61956,0.55082,0.46347,0.45426,0.19105,2.10871,1.77746,1.58294,0.0009571,0.0009571,0.0009571
15,1468.23,2.0365,1.81575,1.61126,0.53899,0.44755,0.44804,0.19692,2.12307,1.77588,1.55537,0.0009538,0.0009538,0.0009538
16,1560.38,2.03675,1.80825,1.61108,0.60785,0.46119,0.485,0.2172,2.05375,1.67862,1.53678,0.0009505,0.0009505,0.0009505
17,1653.04,1.99579,1.77873,1.57475,0.57986,0.47997,0.48882,0.20723,2.05901,1.73834,1.53492,0.0009472,0.0009472,0.0009472
18,1744.67,1.99625,1.77183,1.57545,0.61598,0.44362,0.4832,0.21354,2.06136,1.7251,1.52825,0.0009439,0.0009439,0.0009439
19,1834.22,2.00203,1.75091,1.57498,0.61543,0.48079,0.51556,0.23288,2.01579,1.62602,1.51271,0.0009406,0.0009406,0.0009406
20,1925.78,1.97929,1.71934,1.56107,0.61167,0.47738,0.49841,0.22884,2.01788,1.659,1.51725,0.0009373,0.0009373,0.0009373
21,2016.32,1.96118,1.69857,1.54619,0.57657,0.48313,0.5023,0.22544,2.01827,1.62021,1.49757,0.000934,0.000934,0.000934
22,2105.46,1.94921,1.68048,1.54351,0.58247,0.52233,0.53042,0.23661,1.96631,1.6146,1.50484,0.0009307,0.0009307,0.0009307
23,2195.98,1.93948,1.65438,1.53258,0.58382,0.50008,0.52049,0.23325,1.9777,1.62153,1.48886,0.0009274,0.0009274,0.0009274
24,2286.37,1.91821,1.65003,1.51935,0.62232,0.52127,0.53033,0.24022,1.95952,1.61173,1.49388,0.0009241,0.0009241,0.0009241
25,2377.13,1.92166,1.629,1.52121,0.61098,0.49871,0.5254,0.2408,1.95336,1.61445,1.4806,0.0009208,0.0009208,0.0009208
26,2468.38,1.89829,1.62462,1.51169,0.6773,0.49676,0.56061,0.26584,1.91226,1.53024,1.45832,0.0009175,0.0009175,0.0009175
27,2559.21,1.90475,1.60327,1.5025,0.64995,0.52749,0.56267,0.26161,1.92892,1.53237,1.46415,0.0009142,0.0009142,0.0009142
28,2647.26,1.89223,1.59476,1.4949,0.63672,0.5325,0.56094,0.27316,1.90373,1.51541,1.45341,0.0009109,0.0009109,0.0009109
29,2735.29,1.89321,1.59702,1.50341,0.66974,0.50919,0.55833,0.25473,1.91593,1.50249,1.46259,0.0009076,0.0009076,0.0009076
30,2823.24,1.87099,1.58592,1.49294,0.63192,0.53945,0.57936,0.27614,1.89716,1.49023,1.44399,0.0009043,0.0009043,0.0009043
31,2913.97,1.85874,1.55234,1.48508,0.68535,0.51441,0.57871,0.27536,1.92308,1.49179,1.45369,0.000901,0.000901,0.000901
32,3004.66,1.85061,1.53382,1.47834,0.64661,0.52674,0.55654,0.25171,1.92969,1.52771,1.46503,0.0008977,0.0008977,0.0008977
33,3093.73,1.86892,1.55812,1.47076,0.67057,0.51608,0.58255,0.28001,1.90291,1.4808,1.42849,0.0008944,0.0008944,0.0008944
34,3183.57,1.83457,1.53029,1.46757,0.69066,0.5333,0.5826,0.28033,1.88554,1.47535,1.41669,0.0008911,0.0008911,0.0008911
35,3273.6,1.83932,1.5279,1.47239,0.70818,0.54618,0.60529,0.2974,1.85743,1.44411,1.42594,0.0008878,0.0008878,0.0008878
36,3363.62,1.83516,1.49537,1.45908,0.70033,0.5323,0.60571,0.29627,1.85898,1.42006,1.41368,0.0008845,0.0008845,0.0008845
37,3453.8,1.83252,1.5123,1.45209,0.71221,0.54708,0.60928,0.3001,1.86428,1.43658,1.41636,0.0008812,0.0008812,0.0008812
38,3544.79,1.8036,1.46029,1.44215,0.69113,0.55921,0.62185,0.30152,1.86095,1.38975,1.40771,0.0008779,0.0008779,0.0008779
39,3637.1,1.8168,1.47478,1.45007,0.69638,0.54376,0.5941,0.28248,1.88745,1.44119,1.40997,0.0008746,0.0008746,0.0008746
40,3727.1,1.80255,1.46773,1.4401,0.70478,0.57744,0.62421,0.30476,1.83814,1.40656,1.3941,0.0008713,0.0008713,0.0008713
41,3817.87,1.78962,1.46496,1.43985,0.67944,0.56256,0.60908,0.29046,1.84767,1.42018,1.40672,0.000868,0.000868,0.000868
42,3906.35,1.81202,1.46888,1.44014,0.71132,0.5365,0.60589,0.2962,1.85979,1.42759,1.39888,0.0008647,0.0008647,0.0008647
43,3993.09,1.7992,1.45244,1.42948,0.75534,0.56599,0.63185,0.30955,1.821,1.36862,1.38709,0.0008614,0.0008614,0.0008614
44,4080.68,1.79261,1.44452,1.43009,0.73555,0.56943,0.62768,0.3154,1.80785,1.38604,1.38589,0.0008581,0.0008581,0.0008581
45,4169.4,1.78926,1.43338,1.42741,0.72596,0.57936,0.63996,0.31282,1.81133,1.37241,1.39109,0.0008548,0.0008548,0.0008548
46,4257.42,1.77521,1.42582,1.42257,0.73465,0.56463,0.64347,0.31409,1.82719,1.36065,1.38939,0.0008515,0.0008515,0.0008515
47,4346.99,1.77381,1.40271,1.42211,0.70463,0.55768,0.61859,0.31006,1.80396,1.37446,1.37568,0.0008482,0.0008482,0.0008482
48,4436.62,1.75804,1.4035,1.40972,0.73671,0.58607,0.64469,0.31449,1.80186,1.35552,1.3656,0.0008449,0.0008449,0.0008449
49,4527.69,1.77215,1.40546,1.4188,0.74973,0.59108,0.6552,0.33101,1.78963,1.32899,1.37034,0.0008416,0.0008416,0.0008416
50,4619.2,1.76379,1.40601,1.40807,0.74417,0.60005,0.65657,0.3267,1.79796,1.32055,1.37376,0.0008383,0.0008383,0.0008383
51,4711.5,1.75121,1.39342,1.40421,0.76294,0.58879,0.66155,0.33474,1.76744,1.3216,1.35673,0.000835,0.000835,0.000835
52,4803.62,1.74576,1.36374,1.39865,0.78393,0.57499,0.6628,0.33495,1.77701,1.29895,1.3477,0.0008317,0.0008317,0.0008317
53,4895.21,1.74113,1.37367,1.39246,0.73969,0.59985,0.66169,0.33236,1.77575,1.30695,1.35423,0.0008284,0.0008284,0.0008284
54,4985.12,1.74597,1.3769,1.40143,0.7456,0.60861,0.67469,0.34392,1.76027,1.28111,1.34258,0.0008251,0.0008251,0.0008251
55,5074.37,1.75439,1.37531,1.40164,0.74294,0.58694,0.65663,0.32964,1.76588,1.28128,1.35029,0.0008218,0.0008218,0.0008218
56,5161.39,1.74301,1.37577,1.38765,0.74539,0.58865,0.66441,0.33578,1.76642,1.28939,1.34821,0.0008185,0.0008185,0.0008185
57,5248.65,1.72705,1.36571,1.38535,0.73321,0.62241,0.67436,0.34083,1.76208,1.28625,1.33897,0.0008152,0.0008152,0.0008152
58,5338.09,1.71804,1.3329,1.39186,0.7277,0.61956,0.67955,0.3435,1.73253,1.25118,1.32035,0.0008119,0.0008119,0.0008119
59,5428.2,1.73513,1.354,1.38827,0.75566,0.61257,0.68348,0.34929,1.72666,1.25251,1.33801,0.0008086,0.0008086,0.0008086
60,5518.81,1.72142,1.33164,1.37271,0.74122,0.60068,0.67424,0.35358,1.72592,1.25464,1.31513,0.0008053,0.0008053,0.0008053
61,5609.35,1.71129,1.32972,1.37746,0.7549,0.60405,0.6823,0.35584,1.71917,1.24638,1.31856,0.000802,0.000802,0.000802
62,5699.07,1.71851,1.34127,1.38608,0.72052,0.61418,0.66921,0.35593,1.70438,1.23916,1.31185,0.0007987,0.0007987,0.0007987
63,5790.41,1.69908,1.31992,1.37313,0.77072,0.61823,0.68782,0.35767,1.72052,1.21731,1.31692,0.0007954,0.0007954,0.0007954
64,5880.35,1.69881,1.31096,1.35995,0.74315,0.62854,0.68474,0.36635,1.70406,1.21262,1.30886,0.0007921,0.0007921,0.0007921
65,5970.6,1.70634,1.30976,1.37055,0.76359,0.62923,0.69742,0.36425,1.71065,1.2137,1.30743,0.0007888,0.0007888,0.0007888
66,6059.8,1.69982,1.29983,1.37139,0.77377,0.61531,0.69157,0.36371,1.70683,1.2121,1.30203,0.0007855,0.0007855,0.0007855
67,6149.79,1.67891,1.27994,1.36247,0.78202,0.62574,0.70972,0.37289,1.69793,1.1967,1.29919,0.0007822,0.0007822,0.0007822
68,6240.77,1.70319,1.29879,1.36627,0.73096,0.63907,0.69447,0.36999,1.69168,1.19444,1.30001,0.0007789,0.0007789,0.0007789
69,6330.52,1.68174,1.26993,1.35632,0.79246,0.62327,0.70444,0.37226,1.6864,1.21053,1.30234,0.0007756,0.0007756,0.0007756
70,6418.35,1.67915,1.27706,1.35066,0.78193,0.62418,0.69565,0.36674,1.69673,1.19858,1.31354,0.0007723,0.0007723,0.0007723
71,6509.6,1.67924,1.27259,1.35112,0.76847,0.64551,0.71183,0.37608,1.68112,1.17785,1.30363,0.000769,0.000769,0.000769
72,6599.84,1.66194,1.25196,1.34744,0.75274,0.64236,0.69936,0.36845,1.67642,1.18095,1.29631,0.0007657,0.0007657,0.0007657
73,6691.76,1.69647,1.28348,1.36048,0.75622,0.63074,0.70274,0.37492,1.68839,1.18621,1.29548,0.0007624,0.0007624,0.0007624
74,6782.07,1.66561,1.26107,1.35127,0.7697,0.63507,0.71083,0.37726,1.67029,1.17224,1.29874,0.0007591,0.0007591,0.0007591
75,6872.48,1.66011,1.2468,1.34987,0.79158,0.63925,0.71246,0.38418,1.66562,1.17804,1.28793,0.0007558,0.0007558,0.0007558
76,6965.24,1.6753,1.26175,1.35277,0.7861,0.6368,0.71644,0.38655,1.66949,1.16059,1.2891,0.0007525,0.0007525,0.0007525
77,7056.16,1.65755,1.24751,1.35344,0.80491,0.62441,0.73037,0.39281,1.64998,1.14079,1.28138,0.0007492,0.0007492,0.0007492
78,7147.11,1.65372,1.24779,1.34178,0.7865,0.63029,0.72268,0.38111,1.65477,1.1513,1.28081,0.0007459,0.0007459,0.0007459
