epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.5791,3.73157,4.08594,2.90081,0.08328,0.03145,0.01393,0.00374,3.64197,3.99056,2.67207,0.0670922,0.000332402,0.000332402
2,128.659,3.01148,3.08692,2.36892,0.16775,0.19483,0.099,0.02769,3.06147,3.65344,2.22196,0.03409,0.000663539,0.000663539
3,186.688,2.64334,2.65876,2.09998,0.24678,0.24306,0.16314,0.05164,2.70952,2.88214,1.98864,0.00108558,0.000992475,0.000992475
4,244.244,2.48454,2.44414,1.95791,0.34644,0.30707,0.24675,0.08264,2.55384,2.88581,1.90763,0.0009901,0.0009901,0.0009901
5,301.847,2.35779,2.30412,1.86702,0.33716,0.22249,0.17199,0.06811,2.50808,2.58449,1.85462,0.0009868,0.0009868,0.0009868
6,358.329,2.2846,2.20822,1.80088,0.35857,0.3395,0.27948,0.10741,2.32735,2.13144,1.75068,0.0009835,0.0009835,0.0009835
7,416.795,2.231,2.13634,1.75459,0.47824,0.37148,0.33288,0.12714,2.29194,2.5752,1.68982,0.0009802,0.0009802,0.0009802
8,474.871,2.16101,2.06124,1.70805,0.49343,0.37793,0.36541,0.143,2.23731,2.05591,1.66199,0.0009769,0.0009769,0.0009769
9,531.494,2.12631,2.00252,1.68435,0.46982,0.37401,0.3413,0.1406,2.19237,2.04021,1.63168,0.0009736,0.0009736,0.0009736
10,588.968,2.0953,1.95122,1.66482,0.5751,0.41632,0.42845,0.17608,2.11603,1.98476,1.56773,0.0009703,0.0009703,0.0009703
11,645.904,2.07024,1.90487,1.64705,0.54311,0.39016,0.40466,0.16395,2.20397,1.98134,1.62635,0.000967,0.000967,0.000967
12,702.213,2.05695,1.88155,1.62211,0.57538,0.42412,0.45076,0.19417,2.11293,1.8077,1.55564,0.0009637,0.0009637,0.0009637
13,757.985,2.03061,1.86566,1.60969,0.56968,0.43428,0.43685,0.18388,2.1579,1.80566,1.59335,0.0009604,0.0009604,0.0009604
14,813.434,1.98445,1.79726,1.58686,0.5853,0.46557,0.48183,0.19923,2.091,1.75531,1.56758,0.0009571,0.0009571,0.0009571
15,868.322,1.99012,1.79145,1.59552,0.62374,0.43769,0.48001,0.19778,2.09696,1.77623,1.55182,0.0009538,0.0009538,0.0009538
16,923.679,1.96971,1.77027,1.5776,0.54929,0.49556,0.42955,0.18381,2.02471,1.82388,1.55661,0.0009505,0.0009505,0.0009505
17,979.515,1.94498,1.76191,1.55575,0.56738,0.4817,0.46945,0.20168,2.05942,1.71816,1.53366,0.0009472,0.0009472,0.0009472
18,1035.19,1.94408,1.73708,1.55315,0.47577,0.49195,0.4315,0.1792,2.03467,1.89558,1.57878,0.0009439,0.0009439,0.0009439
19,1091.27,1.94504,1.72705,1.55535,0.56243,0.45196,0.43969,0.19027,2.03507,1.8547,1.53884,0.0009406,0.0009406,0.0009406
20,1146.66,1.93181,1.69425,1.53842,0.56862,0.49282,0.49418,0.22365,1.98201,1.62031,1.50545,0.0009373,0.0009373,0.0009373
21,1202.3,1.90599,1.68774,1.51839,0.63968,0.44808,0.49521,0.22149,2.00739,1.66987,1.50429,0.000934,0.000934,0.000934
22,1257.81,1.89058,1.65449,1.52045,0.61992,0.5092,0.52963,0.236,1.96588,1.55873,1.483,0.0009307,0.0009307,0.0009307
23,1312.44,1.88545,1.6348,1.5151,0.66708,0.47605,0.51661,0.23439,2.01361,1.70261,1.48395,0.0009274,0.0009274,0.0009274
24,1367.11,1.87869,1.63003,1.51145,0.64576,0.50561,0.55323,0.24523,1.97422,1.56269,1.48005,0.0009241,0.0009241,0.0009241
25,1422.45,1.8746,1.61562,1.50712,0.60228,0.53335,0.5362,0.23985,1.98691,1.5919,1.46938,0.0009208,0.0009208,0.0009208
26,1476.7,1.85816,1.60253,1.50254,0.65095,0.4998,0.54442,0.24468,1.94752,1.55059,1.46353,0.0009175,0.0009175,0.0009175
27,1530.95,1.87126,1.58919,1.49536,0.67936,0.5308,0.57467,0.26479,1.92159,1.51731,1.46272,0.0009142,0.0009142,0.0009142
28,1585.59,1.8516,1.57634,1.49182,0.66908,0.5014,0.56737,0.26753,1.95494,1.60039,1.48856,0.0009109,0.0009109,0.0009109
29,1640.25,1.84911,1.57306,1.48966,0.66074,0.50899,0.56127,0.26018,1.8991,1.52542,1.44511,0.0009076,0.0009076,0.0009076
30,1694.07,1.84622,1.57131,1.4827,0.65462,0.4966,0.57489,0.25734,1.92045,1.56658,1.44738,0.0009043,0.0009043,0.0009043
31,1747.5,1.83697,1.54942,1.48905,0.68607,0.52524,0.58023,0.27218,1.90475,1.44304,1.43889,0.000901,0.000901,0.000901
32,1800.25,1.81638,1.53638,1.47167,0.64696,0.54399,0.57853,0.27377,1.88665,1.45937,1.42186,0.0008977,0.0008977,0.0008977
33,1853.65,1.82879,1.53826,1.46468,0.67283,0.54977,0.59358,0.27076,1.90049,1.44232,1.41276,0.0008944,0.0008944,0.0008944
34,1906.45,1.81401,1.52023,1.47096,0.67067,0.55255,0.5838,0.27363,1.88188,1.44179,1.43583,0.0008911,0.0008911,0.0008911
35,1958.96,1.80842,1.51441,1.46467,0.66943,0.56279,0.59954,0.28772,1.81837,1.47316,1.39922,0.0008878,0.0008878,0.0008878
