epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3809,3.76714,4.04505,2.88532,0.21394,0.10092,0.07655,0.02024,3.48559,3.31818,2.42897,0.0670922,0.000332402,0.000332402
2,185.704,3.00377,2.97708,2.30373,0.28255,0.20366,0.15084,0.04311,2.9959,3.09117,2.1278,0.03409,0.000663539,0.000663539
3,272.151,2.65812,2.61857,2.07044,0.39347,0.2697,0.24532,0.0785,2.70373,2.46785,1.92435,0.00108558,0.000992475,0.000992475
4,361.182,2.51378,2.42276,1.9442,0.42638,0.31817,0.29003,0.0937,2.5908,2.36405,1.87091,0.0009901,0.0009901,0.0009901
5,448.126,2.38489,2.25282,1.85862,0.47028,0.331,0.31939,0.11764,2.45943,2.12958,1.75228,0.0009868,0.0009868,0.0009868
6,536.751,2.30355,2.1673,1.80113,0.43946,0.32905,0.30045,0.11691,2.36794,2.2021,1.74378,0.0009835,0.0009835,0.0009835
7,620.792,2.24581,2.11068,1.75305,0.46541,0.39465,0.362,0.12821,2.36265,2.01444,1.72073,0.0009802,0.0009802,0.0009802
8,706.641,2.19118,2.03343,1.71766,0.46867,0.43032,0.40127,0.16403,2.21418,1.95457,1.64747,0.0009769,0.0009769,0.0009769
9,791.516,2.16347,1.97934,1.70502,0.58298,0.43015,0.45145,0.17912,2.17709,1.85489,1.64254,0.0009736,0.0009736,0.0009736
10,871.406,2.12567,1.93309,1.67913,0.55668,0.44142,0.44709,0.18862,2.17228,1.8864,1.63289,0.0009703,0.0009703,0.0009703
11,954.399,2.09685,1.89279,1.66449,0.53542,0.39345,0.39083,0.15901,2.22668,1.97655,1.6535,0.000967,0.000967,0.000967
12,1036.59,2.07459,1.85101,1.63545,0.54497,0.41985,0.4459,0.18746,2.14352,1.81612,1.61026,0.0009637,0.0009637,0.0009637
13,1118.5,2.05694,1.84888,1.61982,0.56359,0.44143,0.44333,0.19224,2.09554,1.83177,1.59905,0.0009604,0.0009604,0.0009604
14,1200.25,2.02036,1.78399,1.60155,0.56787,0.46557,0.46105,0.19568,2.08796,1.78618,1.59436,0.0009571,0.0009571,0.0009571
15,1281.61,1.99912,1.76394,1.59646,0.62462,0.45888,0.49484,0.20855,2.06793,1.71376,1.54204,0.0009538,0.0009538,0.0009538
16,1362.67,1.99851,1.75015,1.59249,0.57423,0.46012,0.48209,0.22017,2.02175,1.71507,1.53457,0.0009505,0.0009505,0.0009505
17,1442.04,1.97183,1.74014,1.56469,0.66965,0.45409,0.51083,0.22503,2.0343,1.62627,1.55188,0.0009472,0.0009472,0.0009472
18,1522.16,1.95731,1.72507,1.56325,0.59279,0.48676,0.51911,0.22602,2.01937,1.64319,1.5271,0.0009439,0.0009439,0.0009439
19,1603.25,1.9512,1.69475,1.55438,0.62088,0.48734,0.52881,0.23912,1.98853,1.61811,1.51039,0.0009406,0.0009406,0.0009406
20,1681.75,1.95118,1.66405,1.53898,0.6483,0.47226,0.52824,0.23684,1.97834,1.60863,1.51795,0.0009373,0.0009373,0.0009373
21,1759.7,1.91356,1.67048,1.5279,0.60609,0.47433,0.50924,0.23359,1.95501,1.60186,1.49755,0.000934,0.000934,0.000934
22,1836.22,1.91012,1.63631,1.5279,0.65182,0.49249,0.54328,0.24825,1.92947,1.60638,1.48032,0.0009307,0.0009307,0.0009307
23,1913.03,1.8998,1.61101,1.52078,0.64756,0.50292,0.56211,0.2609,1.95071,1.54283,1.48155,0.0009274,0.0009274,0.0009274
24,1991.38,1.89843,1.60667,1.51644,0.63514,0.55465,0.56046,0.26157,1.9075,1.55493,1.47913,0.0009241,0.0009241,0.0009241
25,2065.38,1.88353,1.59645,1.51136,0.63916,0.53127,0.57292,0.27087,1.91187,1.51712,1.47974,0.0009208,0.0009208,0.0009208
26,2141.19,1.86631,1.5841,1.50505,0.69025,0.53737,0.59657,0.27138,1.92542,1.50774,1.48369,0.0009175,0.0009175,0.0009175
27,2217.22,1.8649,1.55056,1.49027,0.6527,0.52862,0.56405,0.26403,1.91289,1.50973,1.46651,0.0009142,0.0009142,0.0009142
28,2293.41,1.86807,1.56905,1.49299,0.65065,0.54253,0.57994,0.27176,1.89369,1.53645,1.45732,0.0009109,0.0009109,0.0009109
29,2368.89,1.86022,1.55959,1.49164,0.65131,0.53332,0.58675,0.27731,1.85936,1.46971,1.43834,0.0009076,0.0009076,0.0009076
30,2445.05,1.85226,1.54954,1.48702,0.66124,0.52276,0.59595,0.27702,1.87137,1.48784,1.45298,0.0009043,0.0009043,0.0009043
31,2520.83,1.82954,1.52747,1.47792,0.70912,0.56022,0.62,0.29343,1.86173,1.40402,1.42736,0.000901,0.000901,0.000901
32,2598.43,1.82935,1.50237,1.47019,0.68298,0.52658,0.58312,0.28023,1.85775,1.4655,1.4334,0.0008977,0.0008977,0.0008977
33,2674.4,1.84225,1.5205,1.4673,0.69419,0.55229,0.61223,0.28292,1.87768,1.44182,1.4315,0.0008944,0.0008944,0.0008944
34,2749.61,1.82294,1.49525,1.47565,0.70643,0.54967,0.60854,0.2934,1.8548,1.42866,1.43169,0.0008911,0.0008911,0.0008911
35,2825.68,1.81702,1.49457,1.46948,0.74248,0.53898,0.64136,0.30319,1.82841,1.40031,1.42368,0.0008878,0.0008878,0.0008878
36,2898.74,1.81871,1.46825,1.4617,0.68327,0.56963,0.62048,0.30241,1.8317,1.39514,1.42496,0.0008845,0.0008845,0.0008845
37,2975.07,1.80954,1.47248,1.44917,0.66772,0.56378,0.60597,0.29064,1.83528,1.4286,1.42709,0.0008812,0.0008812,0.0008812
38,3050.57,1.78115,1.43337,1.4457,0.72003,0.57022,0.63104,0.30347,1.82941,1.36009,1.41577,0.0008779,0.0008779,0.0008779
39,3125.89,1.79403,1.44524,1.45104,0.71612,0.57274,0.62944,0.29913,1.84336,1.3784,1.4153,0.0008746,0.0008746,0.0008746
