epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1625,3.7798,3.90125,2.88128,0.20291,0.08144,0.05257,0.01312,3.53853,3.54038,2.5481,0.0670922,0.000332402,0.000332402
2,95.8238,3.01382,2.97732,2.3679,0.25337,0.19326,0.13605,0.04007,2.92369,2.79128,2.15434,0.03409,0.000663539,0.000663539
3,141.496,2.69064,2.61263,2.12203,0.30871,0.26943,0.20391,0.06203,2.73587,2.47483,1.9637,0.00108558,0.000992475,0.000992475
4,184.428,2.51046,2.40283,1.97353,0.33143,0.24908,0.21015,0.07039,2.62654,2.48663,2.00836,0.0009901,0.0009901,0.0009901
5,233.918,2.36067,2.25552,1.86604,0.41553,0.36828,0.31046,0.11125,2.39996,2.24407,1.75129,0.0009868,0.0009868,0.0009868
6,293.956,2.29392,2.16718,1.8077,0.41215,0.37657,0.33828,0.13181,2.35644,2.03488,1.75682,0.0009835,0.0009835,0.0009835
7,354.866,2.24091,2.07903,1.75487,0.46483,0.38626,0.36676,0.13854,2.29936,2.00873,1.69206,0.0009802,0.0009802,0.0009802
8,415.912,2.17139,1.98891,1.71281,0.45941,0.40555,0.37961,0.15439,2.225,1.90892,1.65944,0.0009769,0.0009769,0.0009769
9,477.806,2.14351,1.93077,1.69103,0.56505,0.41721,0.42673,0.16452,2.17724,1.88931,1.64075,0.0009736,0.0009736,0.0009736
10,539.415,2.0947,1.89837,1.67251,0.54624,0.43556,0.44926,0.1851,2.11551,1.79389,1.58751,0.0009703,0.0009703,0.0009703
11,599.648,2.06631,1.84536,1.65088,0.54107,0.43373,0.42905,0.17893,2.18589,1.80206,1.64363,0.000967,0.000967,0.000967
12,661.442,2.04476,1.81693,1.62037,0.52656,0.47717,0.47614,0.1959,2.10457,1.74226,1.57673,0.0009637,0.0009637,0.0009637
13,722.478,2.02678,1.80393,1.60515,0.5591,0.45748,0.44961,0.19562,2.07591,1.80025,1.5906,0.0009604,0.0009604,0.0009604
14,782.641,1.99117,1.74852,1.58509,0.59435,0.45373,0.49294,0.21079,2.05123,1.71888,1.52673,0.0009571,0.0009571,0.0009571
15,842.143,1.96675,1.72548,1.57352,0.58425,0.45912,0.47935,0.20728,2.1048,1.7073,1.55428,0.0009538,0.0009538,0.0009538
16,902.563,1.97087,1.71621,1.57395,0.60705,0.47499,0.51247,0.23754,1.9949,1.68206,1.51158,0.0009505,0.0009505,0.0009505
17,963.573,1.94233,1.69868,1.54689,0.58708,0.47914,0.4884,0.22299,2.00278,1.61672,1.52832,0.0009472,0.0009472,0.0009472
18,1024.97,1.94058,1.67943,1.54843,0.62635,0.48559,0.51064,0.2327,2.00472,1.62884,1.51333,0.0009439,0.0009439,0.0009439
19,1093.44,1.92855,1.6545,1.54236,0.60776,0.50572,0.53321,0.24151,1.99736,1.56317,1.48831,0.0009406,0.0009406,0.0009406
20,1156.52,1.93172,1.62385,1.53315,0.65955,0.49961,0.53392,0.24409,1.97458,1.59817,1.49385,0.0009373,0.0009373,0.0009373
21,1219.91,1.89724,1.61995,1.51335,0.6727,0.50668,0.57795,0.25808,1.95989,1.50687,1.49125,0.000934,0.000934,0.000934
22,1281.6,1.88619,1.60813,1.51805,0.64672,0.51523,0.55343,0.24093,1.93571,1.53618,1.47778,0.0009307,0.0009307,0.0009307
23,1341.76,1.87398,1.5763,1.51188,0.65308,0.51963,0.56131,0.24605,1.98534,1.54105,1.48726,0.0009274,0.0009274,0.0009274
24,1404.96,1.86667,1.56424,1.49855,0.6209,0.52378,0.54149,0.2524,1.93155,1.54126,1.47956,0.0009241,0.0009241,0.0009241
25,1465.59,1.86852,1.55545,1.50306,0.65375,0.51921,0.56002,0.25063,1.97181,1.54509,1.47676,0.0009208,0.0009208,0.0009208
26,1527.57,1.8522,1.54772,1.49258,0.7044,0.53106,0.59333,0.27151,1.93126,1.50389,1.46427,0.0009175,0.0009175,0.0009175
27,1589.5,1.84683,1.52838,1.47582,0.66016,0.52304,0.57511,0.26884,1.91387,1.47655,1.45987,0.0009142,0.0009142,0.0009142
28,1655.35,1.84367,1.53185,1.48125,0.6801,0.56106,0.59384,0.28932,1.86969,1.47734,1.42994,0.0009109,0.0009109,0.0009109
29,1718.38,1.83061,1.51895,1.47631,0.66119,0.52081,0.5769,0.26932,1.90213,1.48255,1.44756,0.0009076,0.0009076,0.0009076
30,1780.08,1.8292,1.51043,1.47314,0.68425,0.51663,0.59032,0.27952,1.90226,1.4562,1.43932,0.0009043,0.0009043,0.0009043
31,1841.77,1.81611,1.48281,1.47033,0.67735,0.5515,0.59939,0.28755,1.88916,1.43361,1.42501,0.000901,0.000901,0.000901
32,1904.21,1.80873,1.46779,1.45769,0.71061,0.53546,0.6137,0.28034,1.90763,1.44004,1.44869,0.0008977,0.0008977,0.0008977
33,1967.69,1.82446,1.49485,1.45421,0.69324,0.54608,0.61544,0.29327,1.87104,1.41817,1.42111,0.0008944,0.0008944,0.0008944
34,2031.96,1.79594,1.45725,1.45398,0.68747,0.58428,0.61981,0.30262,1.85216,1.39275,1.42159,0.0008911,0.0008911,0.0008911
35,2097.31,1.80329,1.46752,1.46449,0.67234,0.58312,0.62731,0.30111,1.80632,1.37717,1.41676,0.0008878,0.0008878,0.0008878
36,2160.06,1.79405,1.42555,1.44775,0.71642,0.54959,0.62859,0.30545,1.83531,1.37153,1.41162,0.0008845,0.0008845,0.0008845
37,2222.39,1.79572,1.42839,1.43465,0.69902,0.57387,0.62359,0.29577,1.86388,1.35672,1.41657,0.0008812,0.0008812,0.0008812
38,2288.3,1.76521,1.39508,1.4326,0.72661,0.58025,0.64858,0.32473,1.81096,1.36078,1.39902,0.0008779,0.0008779,0.0008779
39,2353.86,1.76617,1.40865,1.43373,0.68501,0.60654,0.64139,0.30664,1.82946,1.36029,1.3964,0.0008746,0.0008746,0.0008746
40,2417.31,1.76488,1.41094,1.42509,0.72037,0.55061,0.64151,0.30839,1.84113,1.34509,1.38825,0.0008713,0.0008713,0.0008713
41,2480.77,1.74106,1.38034,1.42473,0.70995,0.58214,0.65037,0.31853,1.82395,1.33724,1.39706,0.000868,0.000868,0.000868
42,2544.72,1.76837,1.4048,1.43037,0.72277,0.57924,0.64832,0.32132,1.81101,1.33404,1.40278,0.0008647,0.0008647,0.0008647
43,2610.14,1.7575,1.37192,1.41563,0.69395,0.60396,0.65581,0.32787,1.79136,1.30578,1.38322,0.0008614,0.0008614,0.0008614
