epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3905,3.65484,4.2722,2.98178,0.0038,0.25069,0.0144,0.00369,3.5038,4.35184,2.83994,0.0670922,0.000332402,0.000332402
2,122.375,3.05353,3.2317,2.55505,0.30549,0.17396,0.14377,0.03909,2.91338,3.04875,2.4378,0.03409,0.000663539,0.000663539
3,181.208,2.72354,2.86515,2.327,0.28622,0.24481,0.18376,0.0588,2.7037,2.77596,2.25202,0.00108558,0.000992475,0.000992475
4,233.455,2.52466,2.63474,2.14592,0.36866,0.33049,0.2758,0.10079,2.43486,2.40606,2.03661,0.0009901,0.0009901,0.0009901
5,286.141,2.38843,2.45263,2.02152,0.43254,0.33126,0.32766,0.12312,2.34375,2.29484,1.93738,0.0009868,0.0009868,0.0009868
