epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9239,3.63285,4.29615,2.98267,0.2038,0.07136,0.04204,0.00942,3.47915,3.56411,2.74728,0.0670922,0.000332402,0.000332402
2,133.699,3.01459,3.24508,2.53747,0.236,0.19494,0.11945,0.03115,2.97622,3.11477,2.44864,0.03409,0.000663539,0.000663539
3,186.486,2.68579,2.82907,2.29294,0.26813,0.27711,0.18812,0.06637,2.56338,2.81948,2.14505,0.00108558,0.000992475,0.000992475
4,238.048,2.50798,2.58684,2.1243,0.41102,0.33118,0.27389,0.1007,2.44289,2.43997,2.04955,0.0009901,0.0009901,0.0009901
