epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3408,3.56434,4.2493,2.91406,0.0608,0.09447,0.02243,0.0053,3.38845,3.947,2.65053,0.0670922,0.000332402,0.000332402
2,120.161,2.9418,3.20441,2.45986,0.17325,0.19014,0.09619,0.02738,2.87264,2.96977,2.36491,0.03409,0.000663539,0.000663539
3,177.833,2.64355,2.81503,2.25504,0.29713,0.30015,0.21621,0.06907,2.53923,2.62213,2.15441,0.00108558,0.000992475,0.000992475
4,260.981,2.47681,2.60646,2.12831,0.35487,0.32689,0.26367,0.09171,2.41678,2.44646,2.08023,0.0009901,0.0009901,0.0009901
5,344.814,2.34857,2.43934,2.01847,0.42039,0.31165,0.27959,0.09476,2.37434,2.46388,2.00288,0.0009868,0.0009868,0.0009868
6,435.956,2.28325,2.33505,1.947,0.47958,0.35823,0.3454,0.1328,2.23812,2.18254,1.91699,0.0009835,0.0009835,0.0009835
7,527.258,2.24259,2.25091,1.8942,0.43437,0.38247,0.34708,0.13148,2.24409,2.28788,1.8899,0.0009802,0.0009802,0.0009802
8,616.017,2.17705,2.16839,1.85066,0.52523,0.41587,0.42154,0.17188,2.12308,2.02012,1.82505,0.0009769,0.0009769,0.0009769
9,704.897,2.14545,2.11537,1.83244,0.52466,0.40161,0.41197,0.17308,2.09254,1.95412,1.80319,0.0009736,0.0009736,0.0009736
10,792.501,2.10817,2.08254,1.81062,0.5192,0.37977,0.39534,0.16272,2.13406,2.04006,1.83054,0.0009703,0.0009703,0.0009703
11,879.249,2.08412,2.0202,1.78676,0.51718,0.42555,0.42891,0.17255,2.10454,1.97311,1.80616,0.000967,0.000967,0.000967
12,963.699,2.06856,1.99175,1.75975,0.56774,0.45226,0.47455,0.20283,2.04513,1.87585,1.74998,0.0009637,0.0009637,0.0009637
13,1049.14,2.05157,1.97523,1.74145,0.5941,0.44429,0.47733,0.20057,2.0201,1.88432,1.73467,0.0009604,0.0009604,0.0009604
14,1135.21,2.01976,1.91402,1.72699,0.60051,0.45027,0.4817,0.20748,1.97715,1.86046,1.71927,0.0009571,0.0009571,0.0009571
15,1223.33,2.00505,1.89339,1.71765,0.55579,0.47424,0.4836,0.2068,2.02981,1.82193,1.7174,0.0009538,0.0009538,0.0009538
16,1308.57,2.00765,1.88365,1.71543,0.60362,0.50482,0.52867,0.23894,1.95328,1.72725,1.67351,0.0009505,0.0009505,0.0009505
17,1394.63,1.96446,1.849,1.68059,0.6367,0.45987,0.50337,0.21439,2.00727,1.78004,1.73053,0.0009472,0.0009472,0.0009472
18,1477.58,1.96923,1.83686,1.68143,0.58546,0.49982,0.50788,0.21854,1.98664,1.75624,1.68756,0.0009439,0.0009439,0.0009439
19,1561.77,1.96059,1.82092,1.67256,0.61485,0.50169,0.54697,0.2454,1.93863,1.6884,1.63175,0.0009406,0.0009406,0.0009406
20,1648.37,1.95423,1.79155,1.66471,0.61214,0.5157,0.5444,0.25238,1.92124,1.68048,1.65158,0.0009373,0.0009373,0.0009373
21,1735.35,1.93423,1.79345,1.64973,0.62698,0.52019,0.56604,0.25701,1.91842,1.65648,1.64009,0.000934,0.000934,0.000934
22,1822.68,1.91753,1.75808,1.64327,0.64784,0.522,0.55953,0.25295,1.90735,1.62076,1.64634,0.0009307,0.0009307,0.0009307
23,1906.57,1.90924,1.73176,1.64219,0.68306,0.47612,0.54356,0.24789,1.9652,1.71196,1.66767,0.0009274,0.0009274,0.0009274
24,1990.96,1.8972,1.71419,1.62529,0.66755,0.54725,0.60409,0.27315,1.93292,1.60173,1.63809,0.0009241,0.0009241,0.0009241
25,2075.53,1.9038,1.69894,1.63385,0.68615,0.53623,0.58602,0.27146,1.89874,1.5977,1.62955,0.0009208,0.0009208,0.0009208
26,2158.45,1.88057,1.69428,1.61702,0.67911,0.53428,0.60714,0.27652,1.87716,1.58586,1.60497,0.0009175,0.0009175,0.0009175
27,2243.23,1.88563,1.67379,1.60891,0.69181,0.55344,0.61474,0.28503,1.87762,1.56188,1.59198,0.0009142,0.0009142,0.0009142
28,2329.4,1.87447,1.67367,1.61192,0.66799,0.55581,0.62227,0.29581,1.8563,1.55809,1.59352,0.0009109,0.0009109,0.0009109
29,2413.54,1.86755,1.66198,1.60744,0.67272,0.53636,0.60045,0.28567,1.87805,1.5676,1.61682,0.0009076,0.0009076,0.0009076
30,2495.94,1.87156,1.65092,1.60185,0.66127,0.55328,0.61486,0.28457,1.86666,1.58053,1.62315,0.0009043,0.0009043,0.0009043
31,2579.92,1.85252,1.62771,1.59781,0.7247,0.54367,0.62868,0.30642,1.8379,1.51619,1.58494,0.000901,0.000901,0.000901
32,2662.56,1.84359,1.60002,1.59157,0.65515,0.57619,0.62183,0.29752,1.84988,1.53942,1.60079,0.0008977,0.0008977,0.0008977
33,2746.43,1.8563,1.62749,1.5853,0.66273,0.56521,0.61664,0.29474,1.82511,1.50634,1.55668,0.0008944,0.0008944,0.0008944
34,2830.07,1.83588,1.59482,1.57735,0.67888,0.55672,0.61477,0.30243,1.83631,1.50303,1.58611,0.0008911,0.0008911,0.0008911
35,2915.94,1.83848,1.6003,1.58122,0.67852,0.59363,0.63287,0.30686,1.83076,1.49358,1.58856,0.0008878,0.0008878,0.0008878
36,3002.1,1.82777,1.57096,1.5719,0.70572,0.59407,0.64795,0.30939,1.83361,1.47787,1.58578,0.0008845,0.0008845,0.0008845
37,3087.17,1.83505,1.5775,1.56645,0.73321,0.58489,0.65066,0.31352,1.85895,1.4823,1.56717,0.0008812,0.0008812,0.0008812
38,3170.44,1.81739,1.54017,1.5615,0.70261,0.59261,0.64985,0.31914,1.79566,1.45823,1.55334,0.0008779,0.0008779,0.0008779
39,3255.45,1.8156,1.55941,1.5607,0.70178,0.57896,0.6518,0.32695,1.76732,1.44223,1.54261,0.0008746,0.0008746,0.0008746
40,3340.17,1.80751,1.54473,1.55094,0.68499,0.59075,0.64377,0.31333,1.83222,1.46166,1.55396,0.0008713,0.0008713,0.0008713
41,3425,1.80787,1.53166,1.5551,0.68496,0.59226,0.65594,0.32161,1.79398,1.42827,1.54633,0.000868,0.000868,0.000868
42,3507.69,1.81472,1.54134,1.55529,0.72002,0.60032,0.66838,0.33166,1.78055,1.41045,1.54484,0.0008647,0.0008647,0.0008647
43,3593.14,1.80335,1.512,1.54338,0.69514,0.60664,0.65505,0.31657,1.79936,1.4485,1.53965,0.0008614,0.0008614,0.0008614
44,3675.96,1.80849,1.52302,1.54721,0.74106,0.5939,0.67865,0.33995,1.80285,1.40322,1.5393,0.0008581,0.0008581,0.0008581
45,3758.65,1.80643,1.51495,1.54202,0.72827,0.59579,0.67353,0.33364,1.79016,1.38728,1.536,0.0008548,0.0008548,0.0008548
46,3840.44,1.79133,1.49741,1.52973,0.71677,0.60324,0.67097,0.33916,1.75828,1.39842,1.51471,0.0008515,0.0008515,0.0008515
47,3922.5,1.77893,1.47969,1.52682,0.74663,0.61451,0.69039,0.35692,1.75589,1.37014,1.51687,0.0008482,0.0008482,0.0008482
48,4004.87,1.77221,1.4791,1.5275,0.75349,0.60177,0.68853,0.3511,1.74493,1.36342,1.50919,0.0008449,0.0008449,0.0008449
49,4089.97,1.7834,1.47955,1.53842,0.74717,0.60637,0.69267,0.34874,1.75076,1.36929,1.50823,0.0008416,0.0008416,0.0008416
50,4174.88,1.78991,1.48426,1.52931,0.73086,0.612,0.69963,0.3625,1.74159,1.34534,1.49928,0.0008383,0.0008383,0.0008383
51,4260.32,1.77638,1.47466,1.52099,0.75425,0.63138,0.70467,0.36255,1.7547,1.33965,1.51057,0.000835,0.000835,0.000835
52,4346.59,1.76423,1.44319,1.5231,0.70543,0.65415,0.69507,0.34924,1.76063,1.33136,1.50643,0.0008317,0.0008317,0.0008317
53,4432.25,1.77512,1.45995,1.52081,0.72935,0.63445,0.70391,0.3587,1.75751,1.34684,1.51142,0.0008284,0.0008284,0.0008284
54,4518.92,1.77169,1.45719,1.51608,0.76358,0.63659,0.72095,0.36417,1.74701,1.32921,1.49051,0.0008251,0.0008251,0.0008251
55,4603.25,1.76587,1.44523,1.51452,0.76468,0.63559,0.7119,0.36832,1.6993,1.32395,1.48837,0.0008218,0.0008218,0.0008218
56,4686.13,1.77599,1.44901,1.51661,0.7153,0.65098,0.68985,0.35722,1.71913,1.33834,1.48833,0.0008185,0.0008185,0.0008185
57,4766.99,1.75469,1.43286,1.5072,0.75253,0.65564,0.72502,0.36957,1.74255,1.31427,1.49149,0.0008152,0.0008152,0.0008152
58,4848.47,1.74159,1.41395,1.50289,0.76485,0.65292,0.71703,0.37741,1.7238,1.30086,1.48549,0.0008119,0.0008119,0.0008119
